merged_id,game_title,game_id,vgsales_rank,platform,genre,publisher,release_year,rating,global_sales,plays,wishlist,merge_date
693,Rayman Raving Rabbids,NULL,16050,pc,misc,ubisoft,2006,2.7,0.01,2700,63000,04-10-2025
694,Rayman Raving Rabbids,NULL,1342,wii,misc,ubisoft,2006,2.7,1.44,2700,63000,04-10-2025
695,Red Dead Redemption,NULL,135,x360,action,take-two interactive,2010,4.2,6.34,13000,1600,04-10-2025
696,Red Dead Redemption,NULL,124,ps3,action,take-two interactive,2010,4.2,6.6,13000,1600,04-10-2025
697,Red Dead Redemption,NULL,135,x360,action,take-two interactive,2010,4.2,6.34,13000,1600,04-10-2025
698,Red Dead Redemption,NULL,124,ps3,action,take-two interactive,2010,4.2,6.6,13000,1600,04-10-2025
699,Red Dead Redemption,NULL,135,x360,action,take-two interactive,2010,4.2,6.34,13000,1600,04-10-2025
700,Red Dead Redemption,NULL,124,ps3,action,take-two interactive,2010,4.2,6.6,13000,1600,04-10-2025
701,Remember Me,NULL,8050,x360,action,capcom,2013,2.9,0.18,1600,239000,04-10-2025
702,Remember Me,NULL,12498,pc,action,capcom,2013,2.9,0.06,1600,239000,04-10-2025
703,Remember Me,NULL,5275,ps3,action,capcom,2013,2.9,0.35,1600,239000,04-10-2025
704,Resident Evil,NULL,202,ps,action,virgin interactive,1996,3.7,5.05,3400,323000,04-10-2025
705,Resident Evil 2,NULL,152,ps,action,virgin interactive,1998,4.2,5.82,5500,597000,04-10-2025
706,Resident Evil 2,NULL,152,ps,action,virgin interactive,1998,4.2,5.82,5500,597000,04-10-2025
707,Resident Evil 3: Nemesis,NULL,333,ps,action,eidos interactive,1999,3.8,3.72,4300,496000,04-10-2025
708,Resident Evil 4,NULL,351,ps2,action,capcom,2005,4.3,3.62,14000,1200,04-10-2025
709,Resident Evil 4,NULL,1072,gc,action,capcom,2005,4.3,1.69,14000,1200,04-10-2025
710,Resident Evil 4,NULL,351,ps2,action,capcom,2005,4.3,3.62,14000,1200,04-10-2025
711,Resident Evil 4,NULL,1072,gc,action,capcom,2005,4.3,1.69,14000,1200,04-10-2025
712,Resident Evil 4,NULL,351,ps2,action,capcom,2005,4.3,3.62,14000,1200,04-10-2025
713,Resident Evil 4,NULL,1072,gc,action,capcom,2005,4.3,1.69,14000,1200,04-10-2025
714,Resident Evil 5,NULL,12096,pc,action,capcom,2009,3.1,0.07,10000,561000,04-10-2025
715,Resident Evil 5,NULL,197,ps3,action,capcom,2009,3.1,5.11,10000,561000,04-10-2025
716,Resident Evil 5,NULL,372,x360,action,capcom,2009,3.1,3.51,10000,561000,04-10-2025
717,Resident Evil 6,NULL,859,x360,shooter,capcom,2012,2.5,1.98,7800,552000,04-10-2025
718,Resident Evil 6,NULL,439,ps3,shooter,capcom,2012,2.5,3.15,7800,552000,04-10-2025
719,Resident Evil 6,NULL,13501,pc,shooter,capcom,2012,2.5,0.04,7800,552000,04-10-2025
720,Resident Evil 6,NULL,859,x360,shooter,capcom,2012,2.5,1.98,7800,552000,04-10-2025
721,Resident Evil 6,NULL,439,ps3,shooter,capcom,2012,2.5,3.15,7800,552000,04-10-2025
722,Resident Evil 6,NULL,13501,pc,shooter,capcom,2012,2.5,0.04,7800,552000,04-10-2025
723,Resident Evil: Revelations,NULL,2364,3ds,action,capcom,2012,3.2,0.88,2900,297000,04-10-2025
724,Resistance: Fall of Man,NULL,254,ps3,shooter,sony computer entertainment,2006,3,4.35,1300,119000,04-10-2025
725,Rock Band 2,NULL,3402,ps2,misc,mtv games,2008,4,0.59,2000,29000,04-10-2025
726,Rock Band 2,NULL,735,x360,misc,electronic arts,2008,4,2.2,2000,29000,04-10-2025
727,Rock Band 2,NULL,2025,wii,misc,mtv games,2008,4,1.03,2000,29000,04-10-2025
